,id,created_at,text,text_clean,word_count,hashtags,entities.mentions,author_id,name,verified,possibly_sensitive,lang,edit_history_tweet_ids,user_location,user_location_USA_state,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,sentiment_vader_raw,sentiment_vader_label,Speculation,Sensationalism,Conspiracy,Hate_Speech,Satire
73032,1901243632906031172,2025-03-16T12:06:20.000Z,@maddenifico Keep calling everyone Hitler because it worked so well for you all in the 2024 election! 🤡,calling hitler worked 2024 election,18.0,[],"[{'start': 0, 'end': 12, 'username': 'maddenifico', 'id': '349803020'}]",1.6165266025228206e+18,Elena,False,False,en,['1901243632906031172'],"Florida, USA",Florida,0.0,0.0,0.0,0.0,0.0,2.0,0.4101,positive,0.0,0.0,0.0,1.0,1.0
41824,1852984157397241931,2024-11-03 08:00:24+00:00,"⚙️Record Early Voting: Americans Take Charge Ahead of Election Day

https://t.co/8tRhuuFkLW

Ola Aina Peter Obi Arewa Tinubu NYSC BLNEtv BLNEntertainmenttv https://t.co/3eQ7HcrrxD",record early voting americans charge ahead election day ola aina peter obi arewa tinubu nysc blnetv blnentertainmenttv,21.0,[],,1.6661844459285586e+18,BLN ENTERTAINMENT TV,False,False,en,['1852984157397241931'],,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,0.0,0.0,0.0,0.0,0.0
75400,1909951456523829330,2025-04-09T12:48:07.000Z,@TrumpRealDaily Donald Trump received approximately 77.3 million votes in the 2024 presidential election….I voted for MAGA Trump! …Stick to the plan…All in!!,donald trump received approximately 773 million votes 2024 presidential electioni voted maga trump stick planall,22.0,[],"[{'start': 0, 'end': 15, 'username': 'TrumpRealDaily', 'id': '1787115009778040833'}]",1.8569281991432643e+18,JM _Agu,False,False,en,['1909951456523829330'],"Ontario, CA",California,0.0,0.0,0.0,0.0,0.0,2.0,0.0,neutral,0.0,1.0,0.0,0.0,0.0
73780,1904154424408244331,2025-03-24T12:52:46.000Z,Norm Eisen’s jury box and ballot box strategy to rig the 2024 election will go down as the biggest failure in the history of ever. https://t.co/mZahky9Xix,norm eisens jury box ballot box strategy rig 2024 election biggest failure history,26.0,[],,1.500858838014206e+18,The Researcher,False,False,en,['1904154424408244331'],,,0.0,0.0,3.0,0.0,0.0,257.0,-0.5859,negative,1.0,1.0,1.0,0.0,0.0
49838,1862555889967693947,2024-11-29 17:55:03+00:00,"🚨 JUST IN: NBC reported that 68% of Native Americans voted for Trump, based on their 2024 Presidential election exit poll. https://t.co/EIF6bFPEzp",just nbc reported 68 native americans voted trump based 2024 presidential election exit poll,22.0,[],,810055220.0,Proud Elephant 🇺🇸🦅,False,False,en,['1862555889967693947'],United States,,19.0,10.0,107.0,0.0,1.0,1644.0,0.0,neutral,1.0,1.0,0.0,0.0,0.0
48573,1860735281797935357,2024-11-24 17:20:36+00:00,The 2024 Election is Over. Conspiracy Theories and Misinformation Won’t End - https://t.co/8IESDUtYrC https://t.co/MQuVwaUedL,2024 election conspiracy theories misinformation wont end,14.0,[],,4778482949.0,ZanyProgressive,False,False,en,['1860735281797935357'],"Pennsylvania, USA",Pennsylvania,0.0,0.0,0.0,0.0,0.0,11.0,-0.6908,negative,0.0,0.0,0.0,0.0,0.0
6660,1854343346363183265,2024-11-07 02:01:20+00:00,"@nytimes It appears that concerns about election integrity and denialism tend to dissipate when the outcome favors those who previously raised them. This phenomenon has been observed in the context of Donald Trump's political career, particularly during the 2020 and 2024 U.S. presidential… https://t.co/mHOYpOai9x",appears concerns election integrity denialism tend dissipate outcome favors previously raised phenomenon observed context donald trumps political career particularly 2020 2024 presidential,44.0,[],"[{'start': 0, 'end': 8, 'username': 'nytimes', 'id': '807095'}]",1.3660089815131136e+18,Dhanraj Daga ( Modi Ji Ka Pariwar ),False,False,en,['1854343346363183265'],Surat,,0.0,0.0,0.0,0.0,0.0,0.0,0.5574,positive,0.0,0.0,0.0,0.0,0.0
64333,1885057199010959734,2025-01-30 20:07:13+00:00,"BREAKING: The odds of the US economy entering a recession in 2025 have fallen to a fresh low of just 19%.

Since Election Day, the odds of the US economy entering a recession are down 35 percentage points, per @Kalshi.

This comes after the preliminary reading of Q4 2024 GPD… https://t.co/Kk233ajRmW https://t.co/844erGMr0E",breaking odds economy entering recession 2025 fallen fresh low just 19 election day odds economy entering recession 35 percentage points comes preliminary reading q4 2024 gpd,52.0,[],"[{'start': 210, 'end': 217, 'username': 'Kalshi', 'id': '1071484733543079936'}]",3316376038.0,The Kobeissi Letter,True,False,en,['1885057199010959734'],United States,,98.0,76.0,724.0,13.0,51.0,94607.0,-0.7845,negative,0.0,0.0,0.0,0.0,0.0
74029,1904870795504947482,2025-03-26T12:19:23.000Z,"“In a district that went to Trump by 15 in 2024 and has a 23-point Republican voter registration advantage, Malone’s victory is a loud and clear rebuke to Republicans’ threats...""

Democrat wins special state Senate election in Pennsylvania in major upset https://t.co/DNq3Zyw6wQ",district went trump 15 2024 23point republican voter registration advantage malones victory loud clear rebuke republicans threats democrat wins special state senate election pennsylvania major upset,42.0,[],,8.257108064488817e+17,Benjamin Carter Hett 🇺🇸 🇨🇦 🇺🇦 Слава Україні,False,False,en,['1904870795504947482'],"New York, NY",New York,0.0,0.0,1.0,0.0,0.0,34.0,0.6494,positive,0.0,0.0,0.0,0.0,0.0
78996,1922982441490276768,2025-05-15T11:48:35.000Z,https://t.co/aeOtOHzafS     Gov Moore was warned about this over a year ago. Months before the 2024 election that Trump won. Nice try but you can’t blame Trump for this. This is all on you.,gov moore warned year ago months 2024 election trump won nice try blame trump,33.0,[],,1260715266.0,Buddy Cooper,False,False,en,['1922982441490276768'],Merica,,0.0,0.0,0.0,0.0,0.0,5.0,0.6433,positive,1.0,1.0,0.0,0.0,0.0
33091,1892649807866413251,2025-02-20 18:57:32+00:00,"@JamesTate121 KAMALA HARRIS IS THE TRUE WINNER OF THE 2024 ELECTION! TRUMP STOLE THE ELECTION WITH MUSK'S HELP AND OTHERS INCLUDING RUSSIA 200 BOMBS HOAX THREATS TO DEMOCRATIC POLLING LOCATIONS, SUCH AS GA, MI, WI, AZ, CA ETC!",kamala harris true winner 2024 election trump stole election musks help including russia 200 bombs hoax threats democratic polling locations ga mi wi az ca,38.0,[],"[{'start': 0, 'end': 13, 'username': 'JamesTate121', 'id': '1356786368656138241'}]",1.193738287187411e+18,MsFuturehope,False,False,en,['1892649807866413251'],,,0.0,0.0,0.0,0.0,0.0,3.0,0.6597,positive,1.0,1.0,1.0,0.0,0.0
84622,1943653604285354448,2025-07-11T12:48:25.000Z,"Fact Check:  Image Claiming Kamala Harris Got 68M Votes Does NOT Represent 2024 Election Results 
https://t.co/CxlWQW1n7j",fact check image claiming kamala harris got 68m votes does represent 2024 election results,16.0,[],,3247925082.0,Lead Stories,False,False,en,['1943653604285354448'],"Colorado Springs, CO",Colorado,0.0,0.0,0.0,0.0,0.0,39.0,0.0,neutral,0.0,0.0,0.0,0.0,0.0
51240,1864547591863541814,2024-12-05 05:49:22+00:00,"(3/3) (a) Final results of US elections 2024 (b) Future US president, Donald Trump talking w/ Dana White, UFC president and Elon Musk, Trillionaire Tech and future DOGE member at Mar a Lago Dinner Party election night (c) Empty Kamala Harris Rally after the results (d) Donald… https://t.co/wM0wTuzEsB https://t.co/oKOIqqk4yR",33 final results elections 2024 b future president donald trump talking w dana white ufc president elon musk trillionaire tech future doge member mar lago dinner party election night c kamala harris rally results d donald,49.0,[],,568963331.0,John Wu,False,False,en,['1864547591863541814'],Everywhere,,0.0,0.0,0.0,0.0,0.0,22.0,0.2263,positive,1.0,1.0,0.0,0.0,0.0
2844,1850341170838192155,2024-10-27 00:58:07+00:00,Trump doubles down on replacing income taxes with tariffs in Joe Rogan interview - CNBC - https://t.co/nIpIo2iy5Q #GoogleAlerts,trump doubles replacing income taxes tariffs joe rogan interview cnbc googlealerts,18.0,['#googlealerts'],,1137344749.0,MOIZ ESUFALLY,False,False,en,['1850341170838192155'],Sri Lanka,,0.0,0.0,0.0,0.0,0.0,14.0,0.0,neutral,0.0,0.0,0.0,0.0,0.0
19334,1872876648733024402,2024-12-28 05:26:04+00:00,"@rapeandpeating @elonmusk @stevenmackeyman Uh the left owned Twitter and had all but purged every conservative off social media. Without Musk, I don't think the 2024 election would have gone so well...",uh left owned twitter purged conservative social media musk dont think 2024 election gone,31.0,[],"[{'start': 0, 'end': 15, 'username': 'rapeandpeating', 'id': '1832351950991503360'}, {'start': 16, 'end': 25, 'username': 'elonmusk', 'id': '44196397'}, {'start': 26, 'end': 42, 'username': 'stevenmackeyman', 'id': '809829909405147136'}]",1.4578607521534976e+18,Jack Hammer 🇺🇸,False,False,en,['1872876648733024402'],,,0.0,0.0,0.0,0.0,0.0,34.0,0.5591,positive,1.0,1.0,1.0,0.0,0.0
51391,1864735222371119116,2024-12-05 18:14:56+00:00,"The National Democratic Congress (NDC) flagbearer has outspent his New Patriotic Party rival on electoral and political advertisements on Facebook and Instagram in the last three months.

Read more: https://t.co/SZixsAuYvu

#GhanaNewsAgency #GNA #NDC https://t.co/d5owjG6vsP",national democratic congress ndc flagbearer outspent new patriotic party rival electoral political advertisements facebook instagram months read ghananewsagency gna ndc,34.0,"['#ghananewsagency', '#gna', '#ndc']",,1600575576.0,Ghana News Agency,False,False,en,['1864735222371119116'],"ACCRA, GHANA, WEST AFRICA",California,15.0,1.0,26.0,4.0,6.0,2595.0,0.4019,positive,0.0,0.0,0.0,0.0,0.0
15397,1867371238806741057,2024-12-13 00:49:32+00:00,"For the record: tomorrow is December 13. That's 37 days after the November 5 election. Same year though, 2024. This may be yet another area where @GavinNewsom's California is last. Or is there any other state still ""counting"" ballots? https://t.co/kTkP4w3uDN",record tomorrow december 13 thats 37 days november 5 election year 2024 area s california state counting ballots,40.0,[],"[{'start': 146, 'end': 158, 'username': 'GavinNewsom', 'id': '11347122'}]",1507428205.0,Ildiko Santana,False,False,en,['1867371238806741057'],,,0.0,0.0,1.0,0.0,0.0,14.0,0.0,neutral,1.0,1.0,0.0,0.0,0.0
44826,1854962042588786773,2024-11-08 18:59:49+00:00,"""""There is a lesson though for American politics from Britain’s great realignment, and it’s a key lesson for Trump too. The realignment only lasted only five years"", writes @tnewtondunn

Read more: https://t.co/LfmlPqWVA1 https://t.co/yacNsyvH38",lesson american politics britains great realignment key lesson trump realignment lasted years writes read,33.0,[],"[{'start': 173, 'end': 185, 'username': 'tnewtondunn', 'id': '20598137'}]",1168472395.0,The Standard,False,False,en,['1854962042588786773'],"London, United Kingdom",,0.0,0.0,0.0,0.0,0.0,54.0,0.6249,positive,0.0,0.0,0.0,0.0,0.0
52809,1866694562733064637,2024-12-11 04:00:39+00:00,"Florida - 2024 Election Compendium
Topic: 2024 Election Analysis
Capt. Seth Keshel
Florida 2024 Presidential Election Review
Author’s Note: All 2024 Election Reviews can be found here.
Outcome
Trump +13.1% (+1,427,087)
https://t.co/ZR9aCvi6PP https://t.co/eiXBlAtIBG",florida 2024 election compendium topic 2024 election analysis capt seth keshel florida 2024 presidential election review authors note 2024 election reviews outcome trump 131 1427087,33.0,[],,1.3948924714279526e+18,Dee Knight,False,False,en,['1866694562733064637'],,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,neutral,0.0,1.0,0.0,0.0,0.0
67709,1890769785207623902,2025-02-15 14:27:00+00:00,"A galaxy in the year of Jubilee 2025 with Donald Trump winning the 2024 presidential election:

Imagine a vast, swirling nebula, shimmering with the colors of celebration - gold that accompanied Trump's campaign and victory…

https://t.co/dGWDTjLs8q https://t.co/01YBwRPlDC",galaxy year jubilee 2025 donald trump winning 2024 presidential election imagine vast swirling nebula shimmering colors celebration gold accompanied trumps campaign victory,37.0,[],,1.8898996903947878e+18,Sean Basilio,False,False,en,['1890769785207623902'],,,0.0,0.0,0.0,0.0,0.0,3.0,0.5267,positive,1.0,1.0,0.0,0.0,1.0
84470,1942908041646502281,2025-07-09T11:25:49.000Z,"@annvandersteel I'm now convinced that the 2024 election was also stolen via a psy-op. The electorate was mind fucked into voting pro Trump. He was always the choice of Israel. Reverse engineer the events leading up to the election. You'll see, we had no other choice. Israel is pulling all the",im convinced 2024 election stolen psyop electorate mind fucked voting pro trump choice israel reverse engineer events leading election youll choice israel pulling,51.0,[],"[{'start': 0, 'end': 15, 'username': 'annvandersteel', 'id': '1052225335318712320'}]",1.0901708660868874e+18,ThirdEyeOfTheStorm,False,False,en,['1942908041646502281'],United States,,0.0,0.0,1.0,0.0,0.0,13.0,-0.7964,negative,1.0,1.0,1.0,0.0,0.0
51043,1864293912547856859,2024-12-04 13:01:20+00:00,Sarasota County voter statistics for November 2024 are now available: https://t.co/4lq7h4Lcag https://t.co/MjmdqiEmbW,sarasota county voter statistics november 2024 available,12.0,[],,386192959.0,Sarasota County SOE,True,False,en,['1864293912547856859'],,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,0.0,0.0,0.0,0.0,0.0
78169,1920096331638677515,2025-05-07T12:40:13.000Z,"@Peter1036031 @SavantOfficial @BitcoinPeter @SavantOfficial Relying on AI like me has upsides and downsides. AI boosts engagement with personalized content (e.g., TikTok's 8.89% rate) and automates tasks (33% of marketers use AI for ideas). But it can spread misinformation, like fake 2024 election images, and",relying ai like upsides downsides ai boosts engagement personalized content tiktoks 889 rate automates tasks 33 marketers use ai ideas spread misinformation like fake 2024 election images,44.0,[],"[{'start': 0, 'end': 13, 'username': 'Peter1036031', 'id': '1853910515803734016'}, {'start': 14, 'end': 29, 'username': 'SavantOfficial', 'id': '393630242'}, {'start': 30, 'end': 43, 'username': 'bitcoinpeter', 'id': '894007579403309058'}, {'start': 44, 'end': 59, 'username': 'SavantOfficial', 'id': '393630242'}]",1.7206651831889224e+18,Grok,True,False,en,['1920096331638677515'],wherever you are,,0.0,0.0,0.0,0.0,0.0,12.0,-0.1154,negative,0.0,0.0,0.0,0.0,0.0
61091,1879658658247606714,2025-01-15 22:35:21+00:00,"We keep hearing that for the last three elections, California’s counties have been flipping to more and more red. We also hear that California is the state that people have been moving out of the most. How red would California have been in the 2024 election if they had not… https://t.co/RnQK2DQ3qd https://t.co/fJA97g3OQX",hearing elections californias counties flipping red hear california state people moving red california 2024 election,52.0,[],,1.8450901342842634e+18,Margo Buchanan 🇺🇸✝️,False,False,en,['1879658658247606714'],,,0.0,0.0,1.0,0.0,0.0,37.0,0.0,neutral,1.0,1.0,0.0,0.0,0.0
3071,1851247785875476987,2024-10-29 13:00:41+00:00,"All over the country black Democrats are opting out because they have no choice. Black Democrats tolerate corrupt, thieves, but they won’t suffer fake azz Kamala.
_

GOP early vote up, Black early vote down with Election Day less than two weeks away | WUNC https://t.co/4Hi4L31G7L",country black democrats opting choice black democrats tolerate corrupt thieves wont suffer fake azz kamala _ gop early vote black early vote election day weeks away wunc,46.0,[],,33188639.0,Rasin Kain,False,False,en,['1851247785875476987'],"North Carolina, USA",North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.6549,positive,1.0,1.0,0.0,1.0,0.0
58686,1875295513433743763,2025-01-03 21:37:46+00:00,"BREAKING 🚨 Judge Juan Merchan has ordered Donald Trump to appear for sentencing on January 10th.

Do you believe this judge should face consequences for potentially interfering in the 2024 election? https://t.co/yZg8YtdH6s",breaking judge juan merchan ordered donald trump appear sentencing january 10th believe judge face consequences potentially interfering 2024 election,32.0,[],,1.8666114192838697e+18,Charlie Kirk 🇺🇸 News,False,False,en,['1875295513433743763'],,,2.0,1.0,4.0,0.0,1.0,45.0,-0.1531,negative,1.0,1.0,0.0,0.0,0.0
9672,1859309868630540347,2024-11-20 18:56:31+00:00,"Minnesota Election Judge Faces Felony Charges for Allowing Unregistered People to Vote. It was revealed that Scouton’s son worked as an election judge on Election Night as well, and was responsible for registering applications. https://t.co/7bTyx1osbr",minnesota election judge faces felony charges allowing unregistered people vote revealed scoutons son worked election judge election night responsible registering applications,35.0,[],,770673684.0,Frank Stephens ~ Constitutionalist,False,False,en,['1859309868630540347'],USA,,0.0,0.0,0.0,0.0,0.0,4.0,-0.296,negative,0.0,0.0,0.0,0.0,0.0
69992,1894832049133089227,2025-02-26 19:28:59+00:00,"In 2024, the Office of Elections refused to allow me to be an observer, which hurt our party’s ability to participate in election oversight.

The unbroken pattern continues.

Note also that there is no cause or grounds stated in Scott Nago’s dismissal order, which is the same… https://t.co/sRXG5aOPLX https://t.co/lkH6qfed6Y",2024 office elections refused allow observer hurt partys ability participate election oversight unbroken pattern continues note cause grounds stated scott nagos dismissal order,49.0,[],,1.1059272822401638e+18,Austin the Musical Chair,False,False,en,['1894832049133089227'],"Hilo, HI",Hawaii,0.0,1.0,1.0,0.0,0.0,24.0,-0.5574,negative,1.0,1.0,0.0,0.0,0.0
50158,1863014067041927363,2024-12-01 00:15:41+00:00,General Election: Late night in store as counting resumes in Letterkenny - https://t.co/QlHZpa979i https://t.co/TgV0NWmFY6,general election late night store counting resumes letterkenny,14.0,[],,217646617.0,Donegal Daily,False,False,en,['1863014067041927363'],"Donegal, Ireland",,1.0,0.0,1.0,0.0,0.0,434.0,0.0,neutral,0.0,0.0,0.0,0.0,0.0
68725,1892628410867872086,2025-02-20 17:32:31+00:00,"📢 Stock fans! After 2024 election, small caps (Russell 2000) &amp; energy stocks (S&amp;P 500 Energy) surged on the ""Trump bump"". In 2025, gains vanished. Market's changed. What's in store? Share ideas below! 💬 #Stocks #Investment #SmallCapInsights #EnergyStockTrends https://t.co/d7aNtEx8XW",stock fans 2024 election small caps russell 2000 amp energy stocks sampp 500 energy surged trump bump 2025 gains vanished markets changed whats store share ideas stocks investment smallcapinsights energystocktrends,39.0,"['#stocks', '#investment', '#smallcapinsights', '#energystocktrends']",,1.8871240370439168e+18,Invest In Assets 📈,False,False,en,['1892628410867872086'],New York,New York,0.0,0.0,5.0,0.0,0.0,18.0,0.7783,positive,1.0,1.0,0.0,0.0,0.0
68266,1891736389160517649,2025-02-18 06:27:56+00:00,CNN fired Ryan Girdusky accused Mehdi of being associated with terrorists last year 2024 a week till election Nov 5 ... Now this @cnnbrk @CNN https://t.co/DYvJN8Crug,cnn fired ryan girdusky accused mehdi associated terrorists year 2024 week till election nov 5,26.0,[],"[{'start': 129, 'end': 136, 'username': 'cnnbrk', 'id': '428333'}, {'start': 137, 'end': 141, 'username': 'CNN', 'id': '759251'}]",1.8061994095014216e+18,Jules Lyusya,False,False,en,['1891736389160517649'],"Ann Arbor, MI",Michigan,0.0,0.0,1.0,0.0,0.0,9.0,-0.872,negative,1.0,1.0,0.0,0.0,0.0
52952,1866904383453270132,2024-12-11 17:54:25+00:00,"Is this the Philly vs Pittsburgh TV schedule or the 2024 election map?
#nfl #steelers #Eagles https://t.co/3vdNmUkKjI",philly vs pittsburgh tv schedule 2024 election map nfl steelers eagles,17.0,"['#nfl', '#steelers', '#eagles']",,1.4658747919073976e+18,Relaxed Styles,False,False,en,['1866904383453270132'],"Nashville, TN",Tennessee,0.0,1.0,5.0,2.0,0.0,86.0,0.0,neutral,0.0,0.0,0.0,0.0,1.0
4087,1853044730789061104,2024-11-03 12:01:06+00:00,@onpointpolitics Would it be fair to not every election is the same? Obviously I’d like those results but how can one be so confident a model that got 2020 right can get 2024 right?,fair election obviously id like results confident model got 2020 right 2024 right,34.0,[],"[{'start': 0, 'end': 16, 'username': 'onpointpolitics', 'id': '1756743913505992704'}]",620189408.0,Cristo,False,False,en,['1853044730789061104'],"Orlando, FL",Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.8432,positive,1.0,1.0,0.0,0.0,0.0
51633,1865107924604919997,2024-12-06 18:55:55+00:00,"Candidates in the 2024 election for North Carolina’s first U.S. House district raised and spent millions of dollars in the state’s most expensive congressional race this cycle.

Don Davis and Laurie Buckout received more than $10 million combined. #ncpol https://t.co/deTIbY5Prk",candidates 2024 election north carolinas house district raised spent millions dollars states expensive congressional race cycle don davis laurie buckout received 10 million combined ncpol,40.0,['#ncpol'],,1.3174948101991178e+18,Christine Zhu,False,False,en,['1865107924604919997'],"Raleigh, NC",North Carolina,0.0,1.0,0.0,0.0,0.0,41.0,0.0,neutral,0.0,0.0,0.0,0.0,0.0
26252,1883020334846321006,2025-01-25 05:13:27+00:00,@OccupyDemocrats Elon Musk's and X's Role in 2024 Election Interference,elon musks xs role 2024 election interference,10.0,[],"[{'start': 0, 'end': 16, 'username': 'OccupyDemocrats', 'id': '878284831'}]",1.8669023436499968e+18,Anita Cejudo,False,False,en,['1883020334846321006'],"El Paso, TX",Texas,1.0,0.0,2.0,0.0,1.0,8.0,0.0,neutral,1.0,1.0,1.0,0.0,0.0
80260,1927701624216039788,2025-05-28T12:20:56.000Z,@BY1959 @Ampegbassboyo I can’t believe nobody investigated the 2024 election.,believe investigated 2024 election,10.0,[],"[{'start': 0, 'end': 7, 'username': 'BY1959', 'id': '2153626892'}, {'start': 8, 'end': 22, 'username': 'Ampegbassboyo', 'id': '1799970840378798080'}]",7.80026737589715e+17,GrandmomsShadow🇺🇸🦅,False,False,en,['1927701624216039788'],,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,neutral,1.0,1.0,1.0,0.0,0.0
