id,word_count,hashtag,user_location_usa_state,sentiment_score,sentiment_label,Speculation,Sensation,conspiracy,hate_speech,Satire
1938383505920053598,44,[],,-0.9423,negative,1,1,0,0,0
1910907943022735498,5,[],,-0.5423,negative,0,0,0,1,0
1867082231237447990,26,[],,0.0,neutral,1,0,0,0,0
1853316418902856016,30,"['#uselection2024', '#donaldtrump', '#kamalaharris', '#jobiden', '#elonmusk', '#jillstein2024', '#republicansagainsttrump', '#democraticparty', '#chaseoliver', '#freepalestine']",,0.5267,positive,0,0,0,0,0
1912469107854958944,48,[],,-0.7506,negative,0,1,0,0,0
1870905354386911530,5,[],,0.0,neutral,0,0,0,0,0
1892452632754614339,41,[],New Jersey,0.0,neutral,1,0,0,0,0
1942267988377247997,44,[],,0.5267,positive,1,1,0,0,0
1890620717814747553,44,[],California,-0.5859,negative,1,1,1,0,0
1940379337062322599,33,[],,0.5574,positive,0,0,0,0,0
1865543833473204622,10,[],,0.0,neutral,0,0,0,0,0
1853860158981484681,38,"['#almanac2026', '#elections2024']",Washington,0.7964,positive,0,0,0,0,0
1942564936477245606,20,[],,0.0,neutral,1,0,0,0,0
1875880762072764679,39,[],,0.0,neutral,0,0,0,0,0
1898444742725140898,27,[],Texas,-0.3624,negative,1,0,0,0,0
1871926441199223272,13,[],,-0.7845,negative,0,0,0,0,0
1916289672155734233,31,['#myxanniversary'],Texas,0.4588,positive,0,0,0,0,0
1872624521716617239,36,[],,-0.5759,negative,1,1,1,0,0
1894672650171003121,52,['#abanpapaaba'],,-0.8867,negative,0,1,0,0,0
1891555258809131207,16,['#foxnews'],,0.2732,positive,0,1,0,0,0
1853163318334423074,9,[],Massachusetts,0.0,neutral,0,0,0,0,1
1914648425045610661,42,[],,-0.7425,negative,1,1,1,0,0
1915851390033007097,52,[],South Carolina,0.6573,positive,1,1,1,0,0
1906328696031519120,30,[],Tennessee,0.6808,positive,0,0,0,0,0
1870707028987093296,49,[],,-0.6902,negative,1,0,0,0,0
1847431224177934385,37,[],,0.3612,positive,0,0,0,0,0
1875162455342747880,48,['#hypocricy'],,-0.6808,negative,1,0,0,0,0
1942905742513655901,43,[],,0.0,neutral,1,1,0,0,1
1901246063744364983,48,[],,0.8176,positive,0,0,0,0,0
1931942387468947787,49,[],,-0.2551,negative,0,0,1,1,0
1901603922210349418,47,[],,0.34,positive,1,0,0,0,0
1913888997203472582,49,[],,-0.6597,negative,1,1,1,0,0
1882409398481608840,20,[],,0.5859,positive,0,0,0,0,0
1880281957759873448,18,[],,0.0,neutral,1,1,1,0,0
1873598425671016695,49,[],Vermont,-0.9337,negative,1,1,1,1,0
1857663736657621108,22,[],,-0.6249,negative,1,1,1,0,0
1876705568053739524,12,[],,-0.2023,negative,1,0,0,0,0
1859672611783049278,22,"['#politics', '#datingapps']",,-0.4005,negative,0,0,0,0,0
1864293822097727499,6,[],,0.4404,positive,0,0,0,0,0
1902695446532747289,55,[],,0.6486,positive,0,0,0,0,0
1847623183404306649,31,[],,-0.4404,negative,0,0,0,0,0
1852787985818718411,18,[],,-0.3612,negative,0,1,0,0,0
1854252430675894597,42,[],California,-0.4939,negative,1,0,0,0,0
1892734616227774951,36,[],Florida,-0.2732,negative,0,0,0,0,0
1886206612299202925,21,[],New York,-0.296,negative,0,0,0,0,0
1853814833340166204,14,"['#vote', '#count', '#2024']",,0.0,neutral,0,0,0,0,0
1861257318744162540,17,['#electionfraud'],,0.0,neutral,1,1,1,0,0
1852757594651132361,38,[],Virginia,0.7717,positive,0,0,0,0,0
1886088782640038047,25,[],New Mexico,0.6705,positive,0,0,0,0,0
1853618421545501122,26,"['#electionseason', '#anxiety']",,-0.4987,negative,0,1,0,0,0
1897158103545651476,54,[],,-0.2023,negative,0,0,0,0,0
1847874077005889871,15,"['#bcelxn', '#bcpoli', '#bcelection']",,0.5859,positive,0,0,0,0,0
1869791567562838111,41,[],,0.5034,positive,1,0,1,0,0
1917182582892138976,5,[],Florida,-0.3818,negative,0,0,0,0,0
1897360568778154384,19,[],,-0.3182,negative,1,0,0,0,0
1897165314888221027,18,[],Illinois,-0.2023,negative,0,0,0,0,0
1858223689881301231,14,[],,0.5267,positive,0,0,0,0,0
1848438549575766355,42,['#realdonaldtrump'],,0.4939,positive,1,0,0,0,0
1884552304243945602,48,[],,0.8316,positive,0,0,0,0,0
1904512379649405366,12,[],North Carolina,0.0,neutral,1,1,1,0,0
1899170586166763883,57,[],Wisconsin,-0.934,negative,0,1,0,1,0
1920287658829623449,34,[],,0.6249,positive,0,0,0,0,0
1927969728024224192,22,[],Florida,-0.3182,negative,0,0,1,0,0
1935268609703456768,20,[],,0.0,neutral,1,0,0,0,0
1880232742648180801,15,[],Utah,-0.0516,negative,0,0,0,0,0
1927867560948621531,44,[],,-0.8402,negative,1,1,1,0,0
1852863386804969864,15,[],Arizona,0.5267,positive,0,0,0,0,0
1893998575287214484,40,[],,-0.0,neutral,1,1,1,0,0
